id,fuente_url,texto_guarani,etiqueta_sentimiento,categoria,fecha_descarga
800ae485-24d7-40c9-a739-24456f373d0e,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"Ndaikatui voi ningo la che motī la che vallegua, Martín Sánchez mundialista #AlbirrojaSub17 omoinge kua la gol, ha oñe'ē porã la Guaranime. ||| neutral",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
e5c89548-e198-4a1d-9f7a-cc24fbcdc3d6,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,@ELTraidor2000_ @soseloestalina @lenguaguarani Seria algo asi como “ Ñandejara ome’e tembiu hai’y vape”... ||| neutral,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
86be4ba0-df0c-4272-aa56-02dc0393ca41,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"Retirando ""TERERE, GUARANÍME"" en Periodismo latino: http://t.co/s9pXqHDGhc ||| neutral",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
fd7e8b7f-4786-4c1b-9f97-8f14fd6d8e66,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"Hacienda oikuave’ê G. 10.000 millones, péva 60% menos ojeruréva funcionario mokõi tasyógua - ABC Remiandu - https://t.co/AO4xzvmw7O https://t.co/sKb5WOe4G3 ||| neutral",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
af97dc54-7cd8-484d-96e9-b49aff3e2a34,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"@lenguaguarani @RadioLibrePy Aguyje, mbo'ehara.. rohenduta upe'i... 🤝 👋 ||| positive",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
18e83bc2-1ffb-46ca-bf0e-b25cf79d9c67,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,Anivéna vyrorei eporandu che ra'aaaaa! hahaha #ndish https://t.co/dPtMPcmr43 ||| negative,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
a80e7603-80e9-4b9f-9f03-f3325836463f,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,Oî opay ramõva ha oî avei oguahê ramova hina hógape hahaha ||| neutral,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
98fca780-71aa-47b1-a000-fe8395bbce18,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"Che ko añe'ese la guaranime ha na ñe'ekuaai ajapomako la ikatumia.. Chetos eliminandome por valle en 3 ,2, 1 ||| neutral",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
06345d87-a750-4421-a7d0-391e35e5a452,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"Rombyasy, motenondehára Luis Gneiting ha imoirũhakuéra, mano https://t.co/M1WBnz2YdM https://t.co/Jquu8KtDe9 ||| negative",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
9faa2b40-d246-46e6-8513-650f3a6559f8,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,@nulvy Aguyvete Nulvia. Maitei horyvéva ndéve ||| positive,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
008b792f-5718-496c-a26b-4b0039a06e3e,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,Iñe’ẽngúva ñe’ẽ mbo’ehararã rehe ñombohovake https://t.co/RKsAoyeMYe https://t.co/dfL9pVaqsZ ||| neutral,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
e0b16672-9b94-46b4-8ff2-a90a565527f4,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,Repyno jave peteî aty guasúpe. https://t.co/p73dseJgoB ||| neutral,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
461802f8-c067-4ade-b6c5-b5f81161b775,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,Paraguáipe oikóta peteĩ amandaje guasu ñe’ẽnguéra rehegua https://t.co/8ujYXfANQS https://t.co/RMwHW3SLq0 ||| positive,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
dfb28d00-9919-4b86-8472-fbf470bf3617,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"3 de junio de 1963: Fallecimiento de Juan XXIII, el Papa Bueno Emoñe'ê hekovekue Guarani ha castellano-pe http://t.co/vQFzPpSENu ||| neutral",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
d7899625-1de4-40db-b6cc-092865ef3352,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,PÑS OAGUYJEME’ẼTAITE MAYMA MOMARANDUHA OYKEKO MBARETÉVA “ROHAYHU CHE ÑE’Ẽ” ÑEMOHERAKUÃ https://t.co/2vL9dqzvgj ||| neutral,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
8ee69222-5412-443d-aa53-a152b9735ccb,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,PETEĨ LÍDER INDÍGENA OÑEMBYASY’ASY OHECHÁVO IKANGY IÑE’Ẽ HA HEKOTEEKUÉRA https://t.co/fL1UT1tpWR ||| neutral,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
40e51fc3-5599-4cf0-8038-f9d2ed745897,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,Ñane retã ñe’ẽ tee mokõive rehehápe oñombyaty tapicha https://t.co/bDRqbe2LSP https://t.co/gaUlljB4iK ||| positive,neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
f7315e25-99f4-440f-8da0-71c1b6c3e3f8,https://huggingface.co/datasets/mmaguero/gn-jopara-sentiment-analysis/raw/main/balanced/sa3_trainBal.txt,"Romohu'ã ko árape Curso Comunicativo de Lengua Guaraní, Nivel 1, Instituto Técnico Superior de Estudios Culturales y Lingüísticos Yvy Marãe'ỹme. Ko mbo'esyry hína tapicha oñe'ẽ ha ohaiséva guaraníme g̃uarã; hu'ãvo ome'ẽ kuatia'atã 300 aravo ipohýiva. ||| positive",neutral,jopara_sentiment_balanced,2026-08-07T19:50:35.297528+00:00
